ID,Question,Choice_1,Choice_2,Choice_3,Choice_4,Answer
134,Which of the following is NOT an example of an educational service that an Electronics Engineer can provide?,Teaching undergraduate and graduate courses in electronics engineering.,Developing and delivering corporate training programs on electronics manufacturing.,Creating and delivering online courses and tutorials on electronics testing.,Providing consulting services to businesses and organizations on designing a new software product.,Providing consulting services to businesses and organizations on designing a new software product.
135,Which of the following is the MOST important skill that an Electronics Engineer needs to have in order to provide educational services?,Technical expertise in electronics engineering,Strong teaching and communication skills,Ability to develop and deliver educational materials,Experience working in a variety of industries,Strong teaching and communication skills
136,Which of the following are essential skills for an Electronics Engineer to have in order to provide educational services?,Technical expertise in electronics engineering,Strong teaching and communication skills,Ability to develop and deliver educational materials,All of the choices,All of the choices
137,What does the acronym DICT stand for?,Department of Infrastructure and Communications Technology,Digital Information and Communication Technologies,Department of Information and Communications Technology,Directorate for Information and Communication Technology,Department of Information and Communications Technology
138,"What information can be contained within an RFID tag, which is equipped with a microchip and an antenna for communication?",Only the manufacturer's information,A random assortment of data,"A unique number and potentially other data, like a customer's account number",No information; RFID tags are empty by default,"A unique number and potentially other data, like a customer's account number"
139,"According to ACT 3846, when can the construction of a radio station commence?",After obtaining a business license,When the construction budget is approved,Once the radio equipment is procured,After the NTC has issued a permit to construct,After the NTC has issued a permit to construct
140,What is the main purpose of Memorandum Circular 2013-01 issued by the Department of the Interior and Local Government (DILG)?,Implementing a new tax law,Promoting electronic engineering education,Regulating electronics manufacturing,Implementing the Electronics Engineering Law of 2004,Implementing the Electronics Engineering Law of 2004
141,What was the main reason for transferring the National Telecommunications Commission (NTC) back to the supervision and control of the Department of Transportation and Communications (DOTC) under Executive Order No. 454?,To streamline bureaucracy operations and ensure the efficient and effective regulation of the telecommunications sector.,To strengthen the NTC and make it more independent of the telecommunications industry.,To weaken the NTC and make it more subservient to the interests of the telecommunications industry.,To transfer the NTC to a more experienced and qualified government agency.,To streamline bureaucracy operations and ensure the efficient and effective regulation of the telecommunications sector.
142,Which of the following Executive Orders transferred the National Telecommunications Commission (NTC) back to the supervision and control of the Department of Transportation and Communications (DOTC)?,Executive Order No. 269,Executive Order No. 454,Executive Order No. 94,Executive Order No. 546,Executive Order No. 454
143,"What is the minimum duration of news that each radio station is required to schedule per day, from 5:00 am to 10:00 pm on a Monday-through-Saturday basis?",30 minutes,60 minutes,45 minutes,15 minutes,45 minutes
144,What is the designation given to an individual responsible for ensuring safety within an RF facility after successfully completing the radiofrequency radiation safety seminar conducted by the Bureau of Health Devices & Technology (BHDT) of the Department of Health?,RF Safety Supervisor,RF Radiation Safety Officer,RF Health Inspector,BHDT Safety Director,RF Radiation Safety Officer
145,What does Executive Order 59 prescribe regarding the telecommunications industry?,Guidelines for market competition,Guidelines for tariff rates,Guidelines for compulsory interconnections of authorized public telecommunications carriers,Guidelines for cybersecurity in telecommunications,Guidelines for compulsory interconnections of authorized public telecommunications carriers
146,"Which standards establish a universal, organized cabling infrastructure to accommodate voice, data, and video in various settings, including commercial, campus, and residential areas?",ANSI standards,TIA standards,IEEE standards,ISO standards,TIA standards
147,"According to NTC MC No. 03-08-2006, what is the maximum permitted power for High Power RFID Proximity Readers?",2 watts EIRP,3 watts EIRP,4 watts EIRP,5 watts EIRP,4 watts EIRP
148,What is the international Morse code distress signal that is commonly represented as 'SOS'?,Save Our Souls,Safety Or Survival,Secure Our Ship,Send Out Signals,Save Our Souls
149,What does the acronym TVRO stand for?,Television Reception Only,Television Receive Out,Television Relay Operations,Television Receive Only,Television Receive Only
150,"Which resolution issued by the IECEP CPE Council mandates the requirement of a Certificate of Good Standing (COGS) in the renewal of licenses for Registered Professional Electronics Engineers, Electronics Engineers, and Electronics Technicians?",Resolution No. 2012-01,Resolution No. 2001-12,Resolution No. 2020-02,Resolution No. 2013-10,Resolution No. 2012-01
151,What is the meaning of the acronym KBP?,Kadakilaan ng mga Broadkaster ng Pilipinas,Kapatiran ng mga Broadkaster ng Pilipinas,Kulungan ng mga Broadkaster ng Pilipinas,Kapisanan ng mga Broadkaster ng Pilipinas,Kapisanan ng mga Broadkaster ng Pilipinas
152,"What is the minimum daily programming requirement for news on a broadcast station in the Philippines, pursuant to the Broadcast Code of the Philippines prescribed by the Kapisanan ng mga Brodkaster ng Pilipinas?",45 minutes,60 minutes,30 minutes,2 hours,30 minutes
153,What falls under the supervision of service maintenance work conducted by an Electronics Engineer?,Installation of electrical systems,Repair of household appliances,Troubleshooting and servicing electronic equipment,Plumbing repairs,Troubleshooting and servicing electronic equipment
154,How many Original Pilipino Music (OPM) songs must radio stations in the Philippines play in every clock hour?,6 OPM,5 OPMs,3 OPMs,4 OPMs,4 OPMs
155,What does the acronym ANSI stand for?,American National Standards Information,Association for National Standardization and Innovation,American National Standards Institute,American National Standards Inspection,American National Standards Institute
156,What is the primary purpose of the Philippine Electrical Code?,To regulate electrical pricing in the Philippines.,To promote the use of renewable energy sources.,To facilitate international electrical trade.,To safeguard persons and property from hazards associated with electricity.,To safeguard persons and property from hazards associated with electricity.
157,What does the term 'Customer Premises Equipment' refer to in the context of telecommunications?,Equipment owned by the telecommunications company.,Equipment located in the central office of the telecommunications provider.,Equipment located in the premises of a customer connected to the telecommunications network.,Equipment used in long-distance communication.,Equipment located in the premises of a customer connected to the telecommunications network.
158,Which of the following is a book of the Philippine Electronics Code?,Book of Fire Detection and Alarm System,Book of Telecommunications Facilities Distribution System,Book of Cable Television System,All of the above,All of the above
159,What is the purpose of the Philippine Electronics Code?,To promote safety and reliability in the use of electronic systems in the Philippines.,To ensure that electronic systems are compatible and interoperable with each other.,"To provide a set of standards for the design, installation, and operation of electronic systems in the Philippines.",All of the above,To promote safety and reliability in the use of electronic systems in the Philippines.
160,The Philippine Electronics Code is developed by which organization?,Institute of Electronics Engineers of the Philippines,National Telecommunications Commission,Department of Information and Communications Technology,Professional Regulation Commission,Institute of Electronics Engineers of the Philippines
161,Which of the following is NOT a book of the Philippine Electronics Code?,Book of Building Automation System,Book of Fire Detection and Alarm System,Book of Telecommunications Facilities Distribution System,Book of Distributed Antenna System,Book of Building Automation System
162,"Which book of the Philippine Electronics Code covers the design, installation, and operation of telecommunications facilities distribution systems?",Book 1,Book 2,Book 3,Book 4,Book 1
163,"Which book of the Philippine Electronics Code covers the design, installation, and operation of fire detection and alarm systems?",Book 1,Book 2,Book 3,Book 4,Book 2
164,"Which book of the Philippine Electronics Code covers the design, installation, and operation of cable television systems?",Book 1,Book 2,Book 3,Book 4,Book 3
165,"Which book of the Philippine Electronics Code covers the design, installation, and operation of distributed antenna systems?",Book 1,Book 2,Book 3,Book 4,Book 4
166,"In the Philippines, who is responsible for the direct supervision of the operation and maintenance of unmanned radio stations?",Station manager,NTC Commissioner,Registered ECE,Licensed First Class Radiotelephone Operator,Registered ECE
167,What is the title of Book 1 in the Philippine Electronics Code?,Fire Detection and Alarm System,Telecommunications Facilities Distribution System,Distributed Antenna System,Cable Television System,Telecommunications Facilities Distribution System
168,What is the title of Book 2 in the Philippine Electronics Code?,Fire Detection and Alarm System,Telecommunications Facilities Distribution System,Distributed Antenna System,Cable Television System,Fire Detection and Alarm System
169,What is the title of Book 3 in the Philippine Electronics Code?,Fire Detection and Alarm System,Telecommunications Facilities Distribution System,Distributed Antenna System,Cable Television System,Cable Television System
170,What is the title of Book 4 in the Philippine Electronics Code?,Fire Detection and Alarm System,Telecommunications Facilities Distribution System,Distributed Antenna System,Cable Television System,Distributed Antenna System
171,"Which government agency is responsible for the regulation of cable television systems in the Philippines under Executive Order No. 436, s. 1997?",National Telecommunications Commission,Department of Information and Communications Technology,Bureau of Fire Protection,Institute of Electronics and Communications Engineers of the Philippines,National Telecommunications Commission
172,What is the purpose of Executive Order No. 436 in the Philippines?,Regulating the use of internet in the country,Establishing a new government agency for telecommunications,Prescribing policy guidelines for cable television operations,Promoting international telecommunications trade,Prescribing policy guidelines for cable television operations
173,What is the primary requirement for renewing the Professional Identification Card (PIC) according to the Professional Regulatory Board of Electronics Engineering Resolution No. 04 Series of 2020?,Electronically generated Certificate of Good Standing (e-COGS) from IECEP,Submission of a handwritten letter,Physical copy of the COGS,Membership card from any professional organization,Electronically generated Certificate of Good Standing (e-COGS) from IECEP
174,"Which law mandates that Professional Electronics Engineers, Electronics Engineers, and Electronics Technicians must maintain membership in good standing with the Accredited Integrated Professional Organization?",Republic Act No. 2020,Republic Act No. 9292,Republic Act No. 9393,Republic Act No. 9191,Republic Act No. 9292
175,"Before the Professional Regulatory Board of Electronics Engineering Resolution No. 04 Series of 2020, which resolution required the submission of a membership Certificate of Good Standing (COGS) from the AIPO for PIC renewal?",Resolution No. 01 (s. 2020),Resolution No. 10 (s. 2011),Resolution No. 04 (s. 2020),Resolution No. 07 (s. 2015),Resolution No. 10 (s. 2011)
176,"Due to the COVID-19 pandemic, what scheme did the IECEP adopt, causing difficulties in providing hard copies of the COGS?",Work-From-Home scheme,Mandatory Leave scheme,On-Site Work scheme,Sabbatical Leave scheme,Work-From-Home scheme
177,Which resolution endorsed the online portal providing electronically generated Certificate of Good Standing (e-COGS) for IECEP members?,IECEP Resolution No. 2020-011,IECEP Resolution No. 2019-009,IECEP Resolution No. 2021-015,IECEP Resolution No. 2018-007,IECEP Resolution No. 2020-011
178,"Under which act do electronic documents have the same legal effect, validity, or enforceability as any other document or legal writing?",Republic Act No. 8991,Republic Act No. 8792,Republic Act No. 8893,Republic Act No. 8694,Republic Act No. 8792
179,"For verifying the authenticity of the e-COGS, what URL should be used by the Commission Regional Offices?",myiecep.net/verify/cogs,prc.gov.ph/verify/ecogs,myiecep.com/authenticate,prc.gov.ph/ecog-authentication,myiecep.net/verify/cogs
180,When was Resolution No. 04 Series of 2020 of the Professional Regulatory Board of Electronics Engineering issued?,"June 24, 2019","August 14, 2020","September 04, 2020","July 14, 2020","August 14, 2020"
