ID,Question,Choice_1,Choice_2,Choice_3,Choice_4,Answer
218,"Q169. An op-amp differentiator with R = 10 kohms, C = 0.01uF, input = 1 V sine at 1 kHz. Output amplitude?",0.1 V,0.63 V,6.28 V,62.8 V,62.8 V
219,"Q170. A band-pass filter has f1 = 1 kHz, f2 = 10 kHz. Find bandwidth.",1 kHz,5 kHz,9 kHz,10 kHz,9 kHz
220,"Q171. A Colpitts oscillator has C1 = 100 pF, C2 = 200 pF, L = 10uH. Frequency?",1 MHz,2 MHz,3 MHz,4 MHz,2 MHz
221,"Q172. An SCR with 100 V, 5 A average load current. Power?",250 W,400 W,500 W,1000 W,500 W
222,"Q173. A TRIAC with 120 V rms, firing angle 90°. RMS output?",60 V,84 V,100 V,120 V,84 V
223,Q174. A photodiode with 0.6 A/W and 10 mW light. Photocurrent?,3 mA,6 mA,9 mA,12 mA,6 mA
224,Q175. A thermistor changes resistance 10 kohms to 5 kohms for Î”T = 50°C. Find sensitivity.,50 ohms/°C,75 ohms/°C,100 ohms/°C,200 ohms/°C,100 ohms/°C
225,Q176. A PLC executes 500 instructions in 0.5 ms. Speed?,0.5 MIPS,1 MIPS,2 MIPS,4 MIPS,1 MIPS
226,Q177. Simplify F = (A + B)(A' + B).,A,B,A XOR B,B,B
227,"Q178. A K-map with minterms (1,3,4,6). Simplified F?",A XOR B,A XNOR B,AB' + A'B,AB + A'B',A XOR B
228,Q179. A T flip-flop with 4 MHz clock outputs?,1 MHz,2 MHz,4 MHz,8 MHz,2 MHz
229,Q180. A mod-64 counter with 1 MHz clock outputs?,7.812 kHz,15.625 kHz,31.25 kHz,62.5 kHz,15.625 kHz
230,Q181. A 6-bit shift register stores how many bits?,4,6,8,16,6
231,Q182. A microprocessor with 12-bit address bus addresses how many locations?,1 k,2 k,4 k,8 k,4 k
232,"Q183. A microcontroller 20 MHz clock, 4 cycles per instruction. MIPS?",2.5,4,5,10,5
233,"Q184. If CPI = 2 and clock = 8 MHz, rate?",2 MIPS,3 MIPS,4 MIPS,5 MIPS,4 MIPS
234,Q185. A program requires 4000 cycles at 2 MHz clock. Time?,1 ms,1.5 ms,2 ms,3 ms,2 ms
235,Q186. A unity feedback system G(s) = 20/(s+5). Step error?,0.05,0.1,0.2,1,0.05
236,"Q187. For G(s) = 50/(s(s+10)), unit ramp error?",0.05,0.1,0.2,modulož,0.1
237,"Q188.Damping Ratio = 0.5,  Natural Frequency = 8 rad/s. Peak time?",0.25 s,0.4 s,0.5 s,0.75 s,0.4 s
238,Q189. G(s)H(s) = 100/(s(s+4)). System type?,0,1,2,3,1
239,"Q190. Poles at -1, -2, -3. Dominant time constant?",0.33 s,0.5 s,1 s,2 s,1 s
240,Q191. Root locus of 1/(s(s+4)) centroid?,-1,-2,-3,-4,-2
241,"Q192. Nyquist encircles (-1,0) counterclockwise once. Stability?",Stable,Unstable,Marginally stable,Conditionally stable,Stable
242,Q193. Bode slope -80 dB/dec indicates poles?,2,3,4,5,4
243,"Q194. A 50 Hz, 240 V source feeds R = 20 ohms, L = 0.2 H. Find current.",5:00 AM,6:00 AM,7:00 AM,8:00 AM,6:00 AM
244,Q195. A 200uF capacitor charges through 50 ohms from 100 V. Initial current?,1:00 AM,2:00 AM,3:00 AM,4:00 AM,2:00 AM
245,Q196. A coil 800 turns links 0.08 Wb flux. Current = 4 A. Find L.,10 H,15 H,20 H,25 H,16 H
246,"Q197. A 220 V motor draws 10 A, back emf = 200 V. Ra?",1 ohms,2 ohms,3 ohms,4 ohms,2 ohms
247,Q198. A 50 V source across 10 ohms for 1 hour. Energy consumed?,0.1 kWh,0.2 kWh,0.25 kWh,0.5 kWh,0.25 kWh
248,Q199. A DC source 36 V across 12 ohms. Find power.,54 W,72 W,84 W,108 W,108 W
